Time,Chan,Amp,RiseT,Dur,Energy,RMS,Trai,Counts,CU_Hits,FFT_FoM,FFT_CoG,Time/h,Ecell
137.4070888225,4,24.9782606188,517.4,518.7,2.3842352675000003,2.585,582,2,46,148.8,290.9942962179,137.4165332669,3.429961541
137.7392336988,4,37.9904682602,39.1,498.4,19.5625529159,2.49625,588,39,47,50.0,182.8946930293,137.7486781432,2.8620189347
141.309199406,4,37.4521367956,39.0,574.0,21.9256267883,2.48375,759,45,48,50.0,189.6687944749,141.3186438504,2.8713607231
144.8821611066,4,37.1123585462,127.8,516.3,20.8974233828,2.5387500000000003,769,39,49,50.0,175.1431423042,144.891605551,2.8734578593
148.4459591546,4,35.0929269292,38.5,498.5,12.2012366774,2.49625,785,23,50,50.0,182.5722154426,148.455403599,2.8763175904000002
152.009420373,4,33.2489424992,58.8,415.1,8.7178865215,2.515,799,26,51,103.2,206.1520586401,152.0188648174,2.8770801854
155.5562427586,4,33.4976352642,58.6,497.9,9.7964919405,2.55375,813,27,52,50.0,195.8710217224,155.5656872031,2.8782240778
159.0934240981,4,32.9557200682,58.6,498.3,7.7665914432,2.50875,823,23,53,101.3,203.6399065454,159.1028685425,2.8864219738
162.6171524881,4,31.5419054529,79.2,518.0,8.2041486166,2.495,841,30,54,150.7,216.3941548497,162.6265969325,2.8883284612
166.1365483215,4,31.6725227961,58.7,431.2,6.9531641202,2.50625,856,22,55,101.3,210.5838750992,166.145992766,2.8887097587
169.6501894134,4,31.7156290366,58.0,497.5,7.0640060585,2.4825,872,22,56,150.7,208.2818711158,169.6596338579,2.8889004075
173.1466069249,4,30.5680669749,136.8,497.7,6.5034750151,2.5475,882,21,57,101.3,213.8573461702,173.1560513694,2.8879471638
176.635753811,4,30.810029407400002,58.0,366.3,6.556432345,2.5275,897,21,58,103.2,206.9967951932,176.6451982554,2.9037710093999998
180.1195074871,4,30.8576234423,120.7,401.4,6.9687666837,2.48875,916,26,59,101.3,206.5116025824,180.1289519316,2.8946198698
183.5791664784,4,31.2746262218,24.2,497.0,6.5585758421,2.5075000000000003,929,21,60,150.7,219.9019620193,183.5886109229,2.9070120381
187.0304999263,4,31.4537230748,120.9,430.5,6.7891814979,2.4987500000000002,942,20,61,101.3,209.3534344811,187.0399443707,2.9154005828000003
190.4857888247,4,31.0454337784,24.2,430.6,6.8804642069,2.48375,953,24,62,101.3,211.564266852,190.4952332692,2.9070120381
193.9404586002,4,31.3197478278,59.3,341.9,6.4184743678,2.525,968,21,63,101.3,207.5101686566,193.9499030446,2.9005299808
197.3803324613,4,31.2292689926,59.4,415.6,6.2164835981,2.5075000000000003,980,22,64,103.2,226.1056584268,197.3897769058,2.92340783
200.8203964165,4,31.2746262218,120.8,415.5,6.2618753873,2.4975,991,23,65,103.2,222.9284020085,200.829840861,2.9182603139000003
204.2482430455,4,31.1836736667,21.3,326.4,6.0673992266,2.485,1002,21,66,103.2,218.7181853582,204.25768749,2.9274114536
207.6491198333,4,31.3646362463,61.6,416.9,6.4462365117000004,2.5125,1014,27,67,150.7,214.8564049196,207.6585642778,2.924170425
211.0532781537,4,30.998860532,32.7,414.7,6.2505278038,2.5075000000000003,1024,22,68,146.9,223.8422180183,211.0627225982,2.9262675612
